source_url,target_url,status_code,preserve_query_string,subpath_matching,preserve_path_suffix,include_subdomains
amre.group/blog/california-migration-trends-2023-where-people-are-moving-to-and-from,https://amre.group/blog/california-migration-trends-2023/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/dollar500k-homeownership-in-los-angeles-the-power-of-tic-investing/,https://amre.group/blog/499k-los-angeles-buyer-guide/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/dollar500k-homeownership-in-los-angeles-the-power-of-tic-investing,https://amre.group/blog/499k-los-angeles-buyer-guide/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/duplex-investing-in-los-angeles-how-to-build-wealth-while-living-for-less/,https://amre.group/blog/why-buying-duplex-real-estate-success/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/duplex-investing-in-los-angeles-how-to-build-wealth-while-living-for-less,https://amre.group/blog/why-buying-duplex-real-estate-success/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/estate-planning-for-real-estate-owners-trusts-taxes-and-strategies/,https://amre.group/blog/estate-planning-for-real-estate-owners/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/estate-planning-for-real-estate-owners-trusts-taxes-and-strategies,https://amre.group/blog/estate-planning-for-real-estate-owners/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/finding-your-dream-beach-property-in-los-angeles-for-under-dollar1-million/,https://amre.group/blog/dream-beach-property-under-1-million/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/finding-your-dream-beach-property-in-los-angeles-for-under-dollar1-million,https://amre.group/blog/dream-beach-property-under-1-million/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/how-a-south-la-duplex-could-build-you-dollar600k-in-equity-in-10-years/,https://amre.group/blog/why-buying-duplex-real-estate-success/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/how-a-south-la-duplex-could-build-you-dollar600k-in-equity-in-10-years,https://amre.group/blog/why-buying-duplex-real-estate-success/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/how-ai-and-a-global-workforce-can-help-you-buy-back-your-time/,https://amre.group/blog/leveraging-ai-global-workforce/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/how-ai-and-a-global-workforce-can-help-you-buy-back-your-time,https://amre.group/blog/leveraging-ai-global-workforce/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/how-to-buy-a-duplex-in-los-angeles-step-by-step-guide-to-wealth-and-real-estate-investing/,https://amre.group/blog/why-buying-duplex-real-estate-success/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/how-to-buy-a-duplex-in-los-angeles-step-by-step-guide-to-wealth-and-real-estate-investing,https://amre.group/blog/why-buying-duplex-real-estate-success/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/if-youre-tired-of-being-a-landlord-a-dst-might-be-your-perfect-next-move/,https://amre.group/blog/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/if-youre-tired-of-being-a-landlord-a-dst-might-be-your-perfect-next-move,https://amre.group/blog/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/los-angeles-apartment-market-shifts-q2-2023-vs-q2-2024/,https://amre.group/blog/la-apartment-market-shifts-q2/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/los-angeles-apartment-market-shifts-q2-2023-vs-q2-2024,https://amre.group/blog/la-apartment-market-shifts-q2/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/los-angeles-real-estate-2026-a-market-of-clarity-not-hype/,https://amre.group/blog/los-angeles-market-now-2026/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/los-angeles-real-estate-2026-a-market-of-clarity-not-hype,https://amre.group/blog/los-angeles-market-now-2026/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/los-angeles-real-estate-market-forecast-2025/,https://amre.group/blog/los-angeles-market-now-2026/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/los-angeles-real-estate-market-forecast-2025,https://amre.group/blog/los-angeles-market-now-2026/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/mortgage-rates-hit-2-year-low-what-it-means-for-buyers-and-homeowners/,https://amre.group/blog/mortgage-rates-2-year-low-refi-boom/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/mortgage-rates-hit-2-year-low-what-it-means-for-buyers-and-homeowners,https://amre.group/blog/mortgage-rates-2-year-low-refi-boom/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/national-home-price-appreciation-since-1990-what-it-means-for-homeowners-and-investors/,https://amre.group/blog/national-home-price-appreciation-since-1990/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/national-home-price-appreciation-since-1990-what-it-means-for-homeowners-and-investors,https://amre.group/blog/national-home-price-appreciation-since-1990/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/navigating-the-us-real-estate-market-in-2024-buyer-and-seller-strategies/,https://amre.group/blog/navigating-us-real-estate-market/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/navigating-the-us-real-estate-market-in-2024-buyer-and-seller-strategies,https://amre.group/blog/navigating-us-real-estate-market/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/palm-springs-modernism-week-2024-a-celebration-of-mid-century-architecture/,https://amre.group/blog/palm-springs-modernism-week-2024/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/palm-springs-modernism-week-2024-a-celebration-of-mid-century-architecture,https://amre.group/blog/palm-springs-modernism-week-2024/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/sunset-park-santa-monicas-hidden-gem-for-homebuyers/,https://amre.group/blog/sunset-park-santa-monicas-hidden-gem/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/sunset-park-santa-monicas-hidden-gem-for-homebuyers,https://amre.group/blog/sunset-park-santa-monicas-hidden-gem/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/the-future-of-real-estate-innovation-automation-and-the-human-touch/,https://amre.group/blog/future-real-estate-innovation-automation/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/the-future-of-real-estate-innovation-automation-and-the-human-touch,https://amre.group/blog/future-real-estate-innovation-automation/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/the-housing-markets-secret-comeback-why-q4-2024-is-better-than-headlines-suggest/,https://amre.group/blog/missing-markets-secret-comeback/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/the-housing-markets-secret-comeback-why-q4-2024-is-better-than-headlines-suggest,https://amre.group/blog/missing-markets-secret-comeback/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/the-power-of-selling-with-compass-concierge-in-los-angeles/,https://amre.group/blog/power-selling-with-compass/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/the-power-of-selling-with-compass-concierge-in-los-angeles,https://amre.group/blog/power-selling-with-compass/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/the-rise-of-multigenerational-living-and-what-it-means-for-the-future-of-housing/,https://amre.group/blog/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/the-rise-of-multigenerational-living-and-what-it-means-for-the-future-of-housing,https://amre.group/blog/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/the-wealth-building-power-of-duplex-ownership-in-los-angeles/,https://amre.group/blog/power-duplex-ownership-los-angeles/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/the-wealth-building-power-of-duplex-ownership-in-los-angeles,https://amre.group/blog/power-duplex-ownership-los-angeles/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/why-buying-a-duplex-in-los-angeles-is-the-smartest-way-to-build-wealth/,https://amre.group/blog/why-buying-duplex-real-estate-success/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/why-buying-a-duplex-in-los-angeles-is-the-smartest-way-to-build-wealth,https://amre.group/blog/why-buying-duplex-real-estate-success/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/why-drone-photography-is-a-game-changer-for-los-angeles-real-estate-marketing/,https://amre.group/blog/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/why-drone-photography-is-a-game-changer-for-los-angeles-real-estate-marketing,https://amre.group/blog/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/why-tenancy-in-common-tic-could-be-your-smartest-move-in-los-angeles/,https://amre.group/blog/tenancy-in-common-tic-los-angeles-guide/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/why-tenancy-in-common-tic-could-be-your-smartest-move-in-los-angeles,https://amre.group/blog/tenancy-in-common-tic-los-angeles-guide/,301,TRUE,FALSE,FALSE,FALSE
amre.group/buyers-guide/,https://amre.group/buyers/,301,TRUE,FALSE,FALSE,FALSE
amre.group/buyers-guide,https://amre.group/buyers/,301,TRUE,FALSE,FALSE,FALSE
amre.group/coming-soon/,https://amre.group/featured-homes/,301,TRUE,FALSE,FALSE,FALSE
amre.group/coming-soon,https://amre.group/featured-homes/,301,TRUE,FALSE,FALSE,FALSE
amre.group/compass-cares/,https://amre.group/about/,301,TRUE,FALSE,FALSE,FALSE
amre.group/compass-cares,https://amre.group/about/,301,TRUE,FALSE,FALSE,FALSE
amre.group/compass-marketing/,https://amre.group/sellers/,301,TRUE,FALSE,FALSE,FALSE
amre.group/compass-marketing,https://amre.group/sellers/,301,TRUE,FALSE,FALSE,FALSE
amre.group/compass-one/,https://amre.group/sellers/,301,TRUE,FALSE,FALSE,FALSE
amre.group/compass-one,https://amre.group/sellers/,301,TRUE,FALSE,FALSE,FALSE
amre.group/concierge/,https://amre.group/sellers/,301,TRUE,FALSE,FALSE,FALSE
amre.group/concierge,https://amre.group/sellers/,301,TRUE,FALSE,FALSE,FALSE
amre.group/contact-us/,https://amre.group/contact/,301,TRUE,FALSE,FALSE,FALSE
amre.group/contact-us,https://amre.group/contact/,301,TRUE,FALSE,FALSE,FALSE
amre.group/home/,https://amre.group/,301,TRUE,FALSE,FALSE,FALSE
amre.group/home,https://amre.group/,301,TRUE,FALSE,FALSE,FALSE
amre.group/lp-national-real-estate-insights-q32025/,https://amre.group/blog/national-home-price-appreciation-since-1990/,301,TRUE,FALSE,FALSE,FALSE
amre.group/lp-national-real-estate-insights-q32025,https://amre.group/blog/national-home-price-appreciation-since-1990/,301,TRUE,FALSE,FALSE,FALSE
amre.group/make-me-move/,https://amre.group/home-valuation/,301,TRUE,FALSE,FALSE,FALSE
amre.group/make-me-move,https://amre.group/home-valuation/,301,TRUE,FALSE,FALSE,FALSE
amre.group/national-real-estate-insights-october-2025-download/,https://amre.group/blog/,301,TRUE,FALSE,FALSE,FALSE
amre.group/national-real-estate-insights-october-2025-download,https://amre.group/blog/,301,TRUE,FALSE,FALSE,FALSE
amre.group/national-real-estate-insights-october-2025/,https://amre.group/blog/los-angeles-market-now-2026/,301,TRUE,FALSE,FALSE,FALSE
amre.group/national-real-estate-insights-october-2025,https://amre.group/blog/los-angeles-market-now-2026/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/bel-air/,https://amre.group/bel-air/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/bel-air,https://amre.group/bel-air/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/beverly-hills/,https://amre.group/beverly-hills/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/beverly-hills,https://amre.group/beverly-hills/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/brentwood-1/,https://amre.group/brentwood/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/brentwood-1,https://amre.group/brentwood/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/brentwood/,https://amre.group/brentwood/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/brentwood,https://amre.group/brentwood/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/culver-city/,https://amre.group/culver-city/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/culver-city,https://amre.group/culver-city/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/,https://amre.group/westside/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods,https://amre.group/westside/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/mar-vista/,https://amre.group/mar-vista/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/mar-vista,https://amre.group/mar-vista/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/marina-del-rey/,https://amre.group/marina-del-rey/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/marina-del-rey,https://amre.group/marina-del-rey/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/mid-city/,https://amre.group/mid-city/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/mid-city,https://amre.group/mid-city/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/playa-del-rey/,https://amre.group/blog/living-in-playa-del-rey-neighborhood-guide/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/playa-del-rey,https://amre.group/blog/living-in-playa-del-rey-neighborhood-guide/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/santa-monica/,https://amre.group/santa-monica/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/santa-monica,https://amre.group/santa-monica/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/sherman-oaks/,https://amre.group/blog/living-in-sherman-oaks-neighborhood-guide/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/sherman-oaks,https://amre.group/blog/living-in-sherman-oaks-neighborhood-guide/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/venice/,https://amre.group/venice/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/venice,https://amre.group/venice/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/west-adams/,https://amre.group/west-adams/,301,TRUE,FALSE,FALSE,FALSE
amre.group/neighborhoods/west-adams,https://amre.group/west-adams/,301,TRUE,FALSE,FALSE,FALSE
amre.group/team/,https://amre.group/about/,301,TRUE,FALSE,FALSE,FALSE
amre.group/team,https://amre.group/about/,301,TRUE,FALSE,FALSE,FALSE
amre.group/testimonials/,https://amre.group/reviews/,301,TRUE,FALSE,FALSE,FALSE
amre.group/testimonials,https://amre.group/reviews/,301,TRUE,FALSE,FALSE,FALSE
